[2024-04-08T03:46:03.937+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: real_estates.extract_real_estates scheduled__2024-04-06T00:00:00+00:00 [queued]>
[2024-04-08T03:46:03.956+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: real_estates.extract_real_estates scheduled__2024-04-06T00:00:00+00:00 [queued]>
[2024-04-08T03:46:03.957+0000] {taskinstance.py:2193} INFO - Starting attempt 13 of 13
[2024-04-08T03:46:03.983+0000] {taskinstance.py:2217} INFO - Executing <Task(_PythonDecoratedOperator): extract_real_estates> on 2024-04-06 00:00:00+00:00
[2024-04-08T03:46:03.998+0000] {standard_task_runner.py:60} INFO - Started process 78045 to run task
[2024-04-08T03:46:04.005+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'real_estates', 'extract_real_estates', 'scheduled__2024-04-06T00:00:00+00:00', '--job-id', '296', '--raw', '--subdir', 'DAGS_FOLDER/real_estates/__init__.py', '--cfg-path', '/tmp/tmpze2go1n0']
[2024-04-08T03:46:04.011+0000] {standard_task_runner.py:88} INFO - Job 296: Subtask extract_real_estates
[2024-04-08T03:46:04.443+0000] {task_command.py:423} INFO - Running <TaskInstance: real_estates.extract_real_estates scheduled__2024-04-06T00:00:00+00:00 [running]> on host 05a350db99a0
[2024-04-08T03:46:05.009+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='real_estates' AIRFLOW_CTX_TASK_ID='extract_real_estates' AIRFLOW_CTX_EXECUTION_DATE='2024-04-06T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='13' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-04-06T00:00:00+00:00'
[2024-04-08T03:47:38.796+0000] {real_estates.py:37} INFO - Batch 1/1 fetched 3600 pages
[2024-04-08T03:47:39.157+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17017190000317/ format type 1
[2024-04-08T03:47:39.520+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000163/ format type 1
[2024-04-08T03:47:39.923+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17076860000081/ format type 1
[2024-04-08T03:47:40.289+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17077370000847/ format type 1
[2024-04-08T03:47:40.649+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000170/ format type 1
[2024-04-08T03:47:40.991+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17006240000107/ format type 1
[2024-04-08T03:47:41.367+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17076860000077/ format type 1
