[2024-04-08T03:14:44.500+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: real_estates.extract_real_estates scheduled__2024-04-06T00:00:00+00:00 [queued]>
[2024-04-08T03:14:44.519+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: real_estates.extract_real_estates scheduled__2024-04-06T00:00:00+00:00 [queued]>
[2024-04-08T03:14:44.519+0000] {taskinstance.py:2193} INFO - Starting attempt 6 of 6
[2024-04-08T03:14:44.547+0000] {taskinstance.py:2217} INFO - Executing <Task(_PythonDecoratedOperator): extract_real_estates> on 2024-04-06 00:00:00+00:00
[2024-04-08T03:14:44.562+0000] {standard_task_runner.py:60} INFO - Started process 77574 to run task
[2024-04-08T03:14:44.569+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'real_estates', 'extract_real_estates', 'scheduled__2024-04-06T00:00:00+00:00', '--job-id', '285', '--raw', '--subdir', 'DAGS_FOLDER/real_estates/__init__.py', '--cfg-path', '/tmp/tmp87_ao0yo']
[2024-04-08T03:14:44.574+0000] {standard_task_runner.py:88} INFO - Job 285: Subtask extract_real_estates
[2024-04-08T03:14:44.987+0000] {task_command.py:423} INFO - Running <TaskInstance: real_estates.extract_real_estates scheduled__2024-04-06T00:00:00+00:00 [running]> on host 05a350db99a0
[2024-04-08T03:14:45.546+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='real_estates' AIRFLOW_CTX_TASK_ID='extract_real_estates' AIRFLOW_CTX_EXECUTION_DATE='2024-04-06T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='6' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-04-06T00:00:00+00:00'
[2024-04-08T03:14:59.574+0000] {real_estates.py:37} INFO - Batch 1/1 fetched 3600 pages
[2024-04-08T03:14:59.917+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17017190000317/ format type 1
[2024-04-08T03:15:00.269+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000163/ format type 1
[2024-04-08T03:15:00.653+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17076860000081/ format type 1
[2024-04-08T03:15:00.994+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17077370000847/ format type 1
[2024-04-08T03:15:01.329+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000170/ format type 1
[2024-04-08T03:15:01.647+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17006240000107/ format type 1
[2024-04-08T03:15:01.999+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17076860000077/ format type 1
[2024-04-08T03:15:02.367+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17007820000100/ format type 1
[2024-04-08T03:15:02.692+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17020970024719/ format type 1
[2024-04-08T03:15:03.405+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17007820000099/ format type 1
[2024-04-08T03:15:03.791+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069060011386/ format type 1
[2024-04-08T03:15:04.088+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17020970024731/ format type 1
[2024-04-08T03:15:04.259+0000] {real_estates.py:75} INFO - Real estate not found: https://www.homes.co.jp/kodate/b-17073810001471/
[2024-04-08T03:15:04.583+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17066990000447/ format type 1
[2024-04-08T03:15:04.939+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17078490000026/ format type 1
[2024-04-08T03:15:05.345+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17082680000042/ format type 1
[2024-04-08T03:15:05.703+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17054070000227/ format type 1
[2024-04-08T03:15:06.385+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17073770001384/ format type 1
[2024-04-08T03:15:06.720+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17077370000848/ format type 1
[2024-04-08T03:15:07.131+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17059430002109/ format type 1
[2024-04-08T03:15:07.484+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000180/ format type 1
[2024-04-08T03:15:07.894+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069060011391/ format type 1
[2024-04-08T03:15:08.210+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17020970024727/ format type 1
[2024-04-08T03:15:08.490+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17020970024733/ format type 1
[2024-04-08T03:15:09.192+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069060011382/ format type 1
[2024-04-08T03:15:09.500+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17020970024710/ format type 1
[2024-04-08T03:15:09.814+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000159/ format type 1
[2024-04-08T03:15:10.164+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17072420000047/ format type 1
[2024-04-08T03:15:10.498+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069460000484/ format type 1
[2024-04-08T03:15:10.859+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17077500000407/ format type 1
[2024-04-08T03:15:11.202+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17073850001704/ format type 1
[2024-04-08T03:15:11.376+0000] {real_estates.py:75} INFO - Real estate not found: https://www.homes.co.jp/kodate/b-17073820001226/
[2024-04-08T03:15:12.029+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17076860000080/ format type 1
[2024-04-08T03:15:12.349+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17073790001373/ format type 1
[2024-04-08T03:15:12.745+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17065800000243/ format type 1
[2024-04-08T03:15:13.113+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000179/ format type 1
[2024-04-08T03:15:13.547+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17079330002432/ format type 1
[2024-04-08T03:15:13.976+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17078050000215/ format type 1
